sample_id,pattern,arrival_pattern,count,disk_size,initial_head,direction,spread,density,clustering,direction_bias,fcfs_dist,sstf_dist,scan_dist,cscan_dist,fcfs_var,sstf_var,scan_var,cscan_var,best_algorithm
329,sequential,continuous,46,250,119,UP,0.1508,1.0,0.1461,0.9733,121,76,76,76,2457.38,8071.68,8071.68,8071.68,FCFS
330,sequential,continuous,14,250,101,DOWN,0.0441,1.0,0.1569,0.9692,58,45,45,45,226.15,829.24,829.24,829.24,FCFS
331,sequential,random,36,400,37,UP,0.0735,1.0,0.0956,0.9886,351,351,351,351,115.19,115.19,115.19,115.19,FCFS
332,sequential,sequential,14,300,238,DOWN,0.0368,1.0,0.1569,0.9692,208,195,195,195,8.35,1383.97,1383.97,1383.97,FCFS
333,sequential,bursty,50,400,93,UP,0.1026,1.0,0.1807,0.9592,72,72,72,72,73.2,73.2,73.2,73.2,FCFS
334,sequential,random,13,150,132,UP,0.0683,1.0,0.0,1.0,130,118,152,192,10.4,1082.85,1217.56,10.4,FCFS
335,sequential,random,20,250,239,UP,0.0641,1.0,0.1298,0.9789,138,119,139,398,27.46,2038.75,2166.31,27.46,FCFS
336,sequential,continuous,28,150,64,UP,0.1518,1.0,0.154,0.9704,50,31,193,296,921.1,2948.91,3743.04,2885.75,FCFS
337,sequential,continuous,18,250,157,UP,0.0576,1.0,0.0,1.0,18,18,200,497,392.78,395.09,667.22,2316.92,FCFS
338,sequential,sequential,20,400,297,UP,0.0398,1.0,0.2248,0.9368,289,270,474,547,14.6,2670.32,3499.92,14.6,FCFS
339,sequential,all_at_once,49,400,172,UP,0.1005,1.0,0.1155,0.9833,261,213,213,213,6652.16,6652.16,6652.16,6652.16,SSTF
340,sequential,continuous,12,400,135,UP,0.0234,1.0,0.0,1.0,149,149,149,149,173.89,173.89,173.89,173.89,FCFS
341,sequential,random,49,150,127,DOWN,0.2689,1.0,0.1155,0.9833,65,65,65,65,24.37,24.37,24.37,24.37,FCFS
342,sequential,all_at_once,25,300,152,DOWN,0.0675,1.0,0.1155,0.9833,90,66,370,556,1732.59,1732.59,1732.59,1732.59,SSTF
343,sequential,bursty,13,200,112,DOWN,0.0514,1.0,0.1633,0.9667,25,13,13,13,97.9,942.66,942.66,942.66,FCFS
344,sequential,random,23,250,155,UP,0.0743,1.0,0.1206,0.9818,52,52,52,52,6.3,6.3,6.3,6.3,FCFS
345,sequential,sequential,30,250,249,DOWN,0.0975,1.0,0.1819,0.9586,199,170,170,170,35.38,4307.04,4307.04,4307.04,FCFS
346,sequential,random,33,400,287,UP,0.0673,1.0,0.1414,0.975,65,33,257,797,69.57,4037.18,5790.35,69.57,FCFS
347,sequential,sequential,39,150,68,DOWN,0.213,1.0,0.0,1.0,77,39,39,39,85.17,5817.73,5817.73,5817.73,FCFS
348,sequential,continuous,16,150,74,DOWN,0.0853,1.0,0.1461,0.9733,29,29,149,298,301.26,859.5,931.98,1241.55,FCFS
349,sequential,sequential,25,200,83,DOWN,0.1012,1.0,0.0,1.0,82,82,248,340,34.96,34.96,34.96,4398.51,FCFS
350,sequential,random,41,400,239,DOWN,0.0838,1.0,0.0894,0.99,201,201,201,201,52.1,52.1,52.1,52.1,FCFS
351,sequential,sequential,11,150,100,DOWN,0.0567,1.0,0.1789,0.96,19,19,219,289,5.09,5.09,5.09,1137.53,FCFS
352,sequential,random,47,250,12,UP,0.1543,1.0,0.1445,0.9739,208,162,162,162,46.62,9268.53,9268.53,9268.53,FCFS
